x0,y0,x1,y1,w,h,diff_fill,changed,alpha,white,dark,id
3076,3142,3200,3225,124,83,0.9866,10154,5083,1862,2993,254
1545,3143,1707,3253,162,110,0.9276,16529,9777,393,9026,255
1711,3144,1849,3265,138,121,0.9823,16403,7833,2378,4205,256
2640,3148,2733,3264,93,116,0.9781,10552,5735,1834,3734,257
2737,3168,2821,3294,84,126,0.9999,10583,4986,1897,2960,258
1970,3179,2086,3301,116,122,0.9676,13694,5860,2147,3425,259
2825,3184,2905,3314,80,130,0.9643,10029,5610,1949,3403,260
3334,3194,3453,3261,119,67,0.9989,7964,4797,1846,2736,261
2909,3229,3040,3308,131,79,0.9672,10010,4931,2041,2714,262
3457,3232,3581,3295,124,63,0.9709,7585,4696,1784,2669,263
2305,3235,2431,3327,126,92,0.9815,11378,4584,2385,2062,264
2435,3246,2552,3342,117,96,0.9466,10632,5611,1965,3407,265
875,3249,1004,3488,129,239,0.7342,22636,8270,5049,3034,266
1008,3250,1139,3313,131,63,0.9985,8241,5006,1873,2933,267
1143,3250,1274,3313,131,63,0.9919,8186,5052,1873,2977,268
1278,3253,1455,3344,177,91,0.912,14689,9406,3022,5486,269
3178,3255,3303,3337,125,82,1.0,10250,4896,1900,2853,270
3307,3265,3431,3346,124,81,1.0,10044,4887,1868,2905,271
2657,3298,2782,3384,125,86,0.9988,10737,5542,2089,3266,272
3435,3299,3561,3362,126,63,0.9766,7752,4802,1792,2764,273
1875,3305,1989,3430,114,125,0.9994,14241,5541,2028,3298,274
2909,3312,2988,3443,79,131,0.974,10080,5059,1979,2869,275
2992,3312,3071,3443,79,131,0.99,10246,4960,2041,2743,276
2786,3318,2905,3407,119,89,0.9819,10399,5211,1841,3212,277
3075,3337,3163,3454,88,117,0.9877,10169,5693,2104,3366,278
3167,3341,3249,3466,82,125,0.9999,10249,4957,1878,2953,279
1147,3348,1289,3503,142,155,0.883,19434,9329,415,8602,280
3253,3350,3379,3431,126,81,0.9998,10204,5074,1897,3047,281
3565,3350,3685,3415,120,65,0.9949,7760,4916,1826,2914,282
3383,3366,3510,3445,127,79,0.9878,9911,5036,1875,2975,283
2534,3384,2635,3494,101,110,0.9948,11052,5973,1812,3986,284
1550,3394,1669,3537,119,143,0.8821,15010,8950,306,8042,285
2738,3411,2856,3502,118,91,0.9795,10518,6614,2089,3904,286
1673,3417,1796,3545,123,128,0.9703,15277,5613,1964,3398,287
3514,3419,3640,3482,126,63,0.956,7589,4949,1872,2868,288
1800,3434,1918,3558,118,124,0.9999,14630,5576,1964,3381,289
3253,3435,3331,3566,78,131,0.9397,9602,5617,2687,2471,290
1922,3442,2036,3567,114,125,0.9128,13008,5669,1497,3520,291
2040,3445,2151,3570,111,125,0.9581,13294,5885,2783,2944,292
2860,3447,2989,3529,129,82,0.9483,10031,5347,2107,3043,293
3644,3457,3762,3523,118,66,0.9995,7784,4883,2006,2685,294
2993,3458,3124,3537,131,79,0.9863,10207,5033,1979,2846,295
2254,3463,2344,3590,90,127,0.9919,11337,5182,1961,3003,296
2348,3464,2438,3590,90,126,0.9671,10967,5256,1868,3194,297
3128,3470,3249,3555,121,85,0.9831,10111,5176,1841,3118,298
2442,3472,2528,3601,86,129,0.9835,10911,5957,2845,2653,299
2637,3506,2738,3616,101,110,0.9928,11030,5998,1802,4007,300
3521,3527,3651,3588,130,61,0.9744,7727,4923,1896,2822,301
2742,3533,2871,3616,129,83,0.9937,10640,5917,2800,2652,302
1486,3541,1614,3674,128,133,0.9821,16720,10221,409,9451,303
2875,3541,3004,3623,129,82,0.9916,10489,5848,2779,2539,304
3655,3545,3784,3605,129,60,0.9915,7674,4883,1877,2800,305
1618,3549,1743,3679,125,130,0.7699,12511,5134,2172,2835,306
3008,3559,3139,3638,131,79,0.9369,9696,5647,2688,2503,307
1747,3562,1867,3689,120,127,0.9595,14623,5637,1967,3505,308
3393,3592,3525,3669,132,77,0.9996,10160,5131,1877,3038,309
2246,3594,2364,3696,118,102,0.9695,11669,5914,2174,3437,310
2368,3605,2491,3697,123,92,0.9774,11060,6202,2423,3517,311
3529,3609,3659,3670,130,61,0.9729,7715,4865,1896,2756,312
2495,3612,2621,3700,126,88,0.9835,10905,5394,2052,3195,313
2752,3627,2875,3714,123,87,0.999,10690,5027,1893,2935,314
2879,3628,2999,3716,120,88,0.9951,10508,4889,1935,2783,315
3663,3632,3792,3692,129,60,0.9882,7649,4893,1937,2728,316
3003,3642,3127,3727,124,85,0.9915,10450,5683,2721,2446,317
1139,3673,1268,3738,129,65,0.9989,8376,5013,1882,2958,318
1272,3673,1401,3738,129,65,0.9994,8380,4961,1876,2897,319
1405,3678,1548,3777,143,99,0.9649,13660,6379,1756,4416,320
1552,3683,1697,3780,145,97,0.9513,13380,5741,1777,3745,321
1848,3695,1982,3787,134,92,0.9922,12232,5606,1871,3396,322
3531,3696,3661,3757,130,61,0.9744,7727,4883,1896,2775,323
1986,3697,2117,3788,131,91,0.9876,11773,5058,1881,2983,324
2121,3700,2252,3788,131,88,0.9879,11388,5237,1880,3161,325
2256,3701,2387,3789,131,88,0.984,11343,5096,1880,3021,326
2391,3704,2519,3791,128,87,0.9981,11115,5503,1968,3305,327
2523,3713,2650,3800,127,87,0.9996,11045,5114,1891,3021,328
2897,3731,3021,3816,124,85,0.9908,10443,5673,2700,2488,329
1139,3742,1272,3887,133,145,0.9647,18605,8509,295,7923,330
3025,3748,3153,3830,128,82,0.9946,10439,5861,2814,2506,331
3157,3756,3289,3834,132,78,0.9349,9626,5630,2672,2502,332
3293,3757,3422,3836,129,79,0.9448,9628,5276,1963,3100,333
3426,3761,3550,3843,124,82,0.9999,10167,5019,1847,2926,334
3554,3784,3684,3845,130,61,0.9811,7780,4943,1896,2851,335
1754,3791,1894,3894,140,103,0.9476,13664,6428,2219,3958,336
2288,3795,2407,3896,119,101,0.9585,11520,6037,1842,3510,337
2538,3814,2665,3901,127,87,0.9996,11045,5090,1898,2987,338
2669,3816,2796,3902,127,86,0.9891,10803,5788,2790,2535,339
3688,3817,3817,3877,129,60,0.9735,7535,4999,1918,2846,340
2922,3834,3055,3913,133,79,0.9616,10104,5762,1994,3485,341
3059,3838,3185,3921,126,83,0.9999,10457,5087,1897,3051,342
3189,3840,3313,3923,124,83,0.9918,10208,5391,1918,3150,343
3582,3881,3643,4011,61,130,0.9748,7730,4933,1896,2838,344
3647,3881,3708,4011,61,130,0.9859,7818,4943,1808,2912,345
1167,3891,1295,3950,128,59,0.9613,7260,4896,1907,2826,346
1299,3896,1442,3973,143,77,0.9738,10723,5323,1815,3297,347
1590,3896,1723,3974,133,78,0.9362,9712,5641,2690,2488,348
1727,3896,1860,3976,133,80,0.9526,10136,5404,1935,3168,349
1446,3897,1586,3973,140,76,0.9908,10542,4940,1865,2909,350
1864,3898,1996,3981,132,83,0.9829,10769,5960,3104,2211,351
2137,3900,2265,3985,128,85,0.9869,10738,4927,1882,2873,352
2269,3900,2397,3985,128,85,0.9831,10696,5909,2428,3347,353
2401,3900,2530,3989,129,89,0.9689,11124,5184,1940,2977,354
3712,3900,3772,4029,60,129,0.9733,7533,4905,1913,2751,355
3776,3900,3836,4029,60,129,0.9912,7672,4967,1894,2903,356
2534,3905,2659,3994,125,89,0.993,11047,5913,2437,3307,357
2663,3906,2788,3994,125,88,0.9965,10961,4804,1912,2657,358
2792,3914,2915,4002,123,88,0.9832,10642,5093,1857,3017,359
3045,3925,3178,4004,133,79,0.9463,9943,5689,2706,2539,360
3182,3927,3311,4008,129,81,0.9974,10422,5500,1973,3365,361
3315,3930,3445,4009,130,79,0.9885,10152,5122,1880,3010,362
3996,3961,4096,4096,100,135,0.9861,13313,4958,1920,2843,363
1297,3977,1447,4094,150,117,0.9855,17295,5652,2614,2920,364
1451,3978,1593,4094,142,116,0.9765,16085,6581,1565,4158,365
1597,3980,1740,4094,143,114,0.9526,15529,5909,1746,3947,366
1744,3985,1889,4094,145,109,0.9682,15303,8850,3061,4483,367
2419,3998,2544,4094,125,96,0.9999,11999,5768,1966,3567,368
2548,3998,2665,4094,117,96,0.9747,10948,5382,1965,3222,369
2669,3999,2785,4094,116,95,0.9999,11019,5372,1851,3319,370
2789,4006,2914,4094,125,88,0.9973,10970,4818,1880,2769,371
2918,4008,3043,4094,125,86,0.997,10718,5411,2043,3137,372
3047,4010,3172,4094,125,84,0.9999,10499,5007,1897,2988,373
3176,4012,3304,4094,128,82,0.9897,10388,5775,2818,2482,374
3308,4013,3437,4094,129,81,0.9992,10441,5540,1491,3447,375
3441,4015,3571,4094,130,79,0.9414,9668,5599,2646,2472,376
